model,comparator,scope,axis,metric,estimate,ci_lower,ci_upper,bootstrap_replicates,bootstrap_unit,bootstrap_stratification
Gemini/gemini-3.6-flash,no_verifier_keep_all,axis,as_of_time,stable_control_accuracy,0.34375,0.25,0.4375,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,axis,lifecycle_intent,stable_control_accuracy,0.25,0.25,0.25,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,axis,policy_purpose,stable_control_accuracy,0.09375,0.03125,0.125,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,axis,principal_scope,stable_control_accuracy,0.125,0.03125,0.21875,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,overall,all,stable_control_overflip_rate,0.296875,0.21875,0.375,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,axis,as_of_time,stable_control_overflip_rate,0.25,0.0625,0.4375,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,axis,lifecycle_intent,stable_control_overflip_rate,0.5,0.5,0.5,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,axis,policy_purpose,stable_control_overflip_rate,0.3125,0.125,0.5,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,axis,principal_scope,stable_control_overflip_rate,0.125,0.0,0.25,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,overall,all,candidate_accuracy,0.30208333333333337,0.28125,0.328125,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,axis,as_of_time,candidate_accuracy,0.39583333333333337,0.33333333333333337,0.45833333333333337,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,axis,lifecycle_intent,candidate_accuracy,0.33333333333333337,0.33333333333333337,0.33333333333333337,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,axis,policy_purpose,candidate_accuracy,0.22916666666666666,0.18749999999999997,0.25,10000,scenario,axis
Gemini/gemini-3.6-flash,no_verifier_keep_all,axis,principal_scope,candidate_accuracy,0.25,0.18749999999999997,0.3125,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,overall,all,strict_focal_pair_consistency,0.0,0.0,0.0,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,axis,as_of_time,strict_focal_pair_consistency,0.0,0.0,0.0,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,axis,lifecycle_intent,strict_focal_pair_consistency,0.0,0.0,0.0,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,axis,policy_purpose,strict_focal_pair_consistency,0.0,0.0,0.0,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,axis,principal_scope,strict_focal_pair_consistency,0.0,0.0,0.0,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,overall,all,focal_direction_accuracy,0.0,0.0,0.0,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,axis,as_of_time,focal_direction_accuracy,0.0,0.0,0.0,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,axis,lifecycle_intent,focal_direction_accuracy,0.0,0.0,0.0,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,axis,policy_purpose,focal_direction_accuracy,0.0,0.0,0.0,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,axis,principal_scope,focal_direction_accuracy,0.0,0.0,0.0,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,overall,all,focal_directional_margin,0.0,0.0,0.0,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,axis,as_of_time,focal_directional_margin,0.0,0.0,0.0,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,axis,lifecycle_intent,focal_directional_margin,0.0,0.0,0.0,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,axis,policy_purpose,focal_directional_margin,0.0,0.0,0.0,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,axis,principal_scope,focal_directional_margin,0.0,0.0,0.0,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,overall,all,stable_control_accuracy,-0.296875,-0.328125,-0.2578125,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,axis,as_of_time,stable_control_accuracy,-0.15625,-0.25,-0.0625,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,axis,lifecycle_intent,stable_control_accuracy,-0.25,-0.25,-0.25,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,axis,policy_purpose,stable_control_accuracy,-0.40625,-0.46875,-0.375,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,axis,principal_scope,stable_control_accuracy,-0.375,-0.46875,-0.28125,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,overall,all,stable_control_overflip_rate,0.296875,0.21875,0.375,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,axis,as_of_time,stable_control_overflip_rate,0.25,0.0625,0.4375,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,axis,lifecycle_intent,stable_control_overflip_rate,0.5,0.5,0.5,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,axis,policy_purpose,stable_control_overflip_rate,0.3125,0.125,0.5,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,axis,principal_scope,stable_control_overflip_rate,0.125,0.0,0.25,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,overall,all,candidate_accuracy,-0.19791666666666666,-0.21875,-0.171875,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,axis,as_of_time,candidate_accuracy,-0.10416666666666666,-0.16666666666666666,-0.04166666666666666,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,axis,lifecycle_intent,candidate_accuracy,-0.16666666666666663,-0.16666666666666663,-0.16666666666666663,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,axis,policy_purpose,candidate_accuracy,-0.27083333333333337,-0.3125,-0.25,10000,scenario,axis
Gemini/gemini-3.6-flash,released_oracle,axis,principal_scope,candidate_accuracy,-0.25,-0.3125,-0.1875,10000,scenario,axis
