model,axis,role,condition,judgment_count,gold_admissible_count,gold_inadmissible_count,accuracy,false_deny_rate,false_admit_rate,unknown_argmax_rate,mean_p_admissible,mean_p_inadmissible,mean_p_unknown
DeepSeek/deepseek-v4-pro,policy_purpose,stable_admissible,all,16,16,0,0.25,0.5625,,0.1875,0.275,0.521875,0.203125
DeepSeek/deepseek-v4-pro,policy_purpose,stable_admissible,allow,8,8,0,0.0,1.0,,0.0,0.05,0.91875,0.03125
DeepSeek/deepseek-v4-pro,policy_purpose,stable_admissible,block,8,8,0,0.5,0.125,,0.375,0.5,0.125,0.375
DeepSeek/deepseek-v4-pro,policy_purpose,stable_inadmissible,all,16,0,16,1.0,,0.0,0.0,0.01375,0.975,0.01125
DeepSeek/deepseek-v4-pro,policy_purpose,stable_inadmissible,allow,8,0,8,1.0,,0.0,0.0,0.0275,0.95,0.0225
DeepSeek/deepseek-v4-pro,policy_purpose,stable_inadmissible,block,8,0,8,1.0,,0.0,0.0,0.0,1.0,0.0
DeepSeek/deepseek-v4-pro,principal_scope,focal,all,16,8,8,0.75,0.0,0.5,0.0,0.7268749999999999,0.254375,0.01875
DeepSeek/deepseek-v4-pro,principal_scope,focal,allow,8,8,0,1.0,0.0,,0.0,0.95625,0.02125,0.0225
DeepSeek/deepseek-v4-pro,principal_scope,focal,block,8,0,8,0.5,,0.5,0.0,0.4975,0.4875,0.015000000000000001
DeepSeek/deepseek-v4-pro,principal_scope,stable_admissible,all,16,16,0,0.0,0.9375,,0.0625,0.0325,0.8825,0.085
DeepSeek/deepseek-v4-pro,principal_scope,stable_admissible,allow,8,8,0,0.0,0.875,,0.125,0.02375,0.82375,0.1525
DeepSeek/deepseek-v4-pro,principal_scope,stable_admissible,block,8,8,0,0.0,1.0,,0.0,0.04125,0.94125,0.0175
DeepSeek/deepseek-v4-pro,principal_scope,stable_inadmissible,all,16,0,16,1.0,,0.0,0.0,0.02125,0.9575,0.02125
DeepSeek/deepseek-v4-pro,principal_scope,stable_inadmissible,allow,8,0,8,1.0,,0.0,0.0,0.025,0.94875,0.026250000000000002
DeepSeek/deepseek-v4-pro,principal_scope,stable_inadmissible,block,8,0,8,1.0,,0.0,0.0,0.0175,0.96625,0.01625
Gemini/gemini-3.6-flash,all,focal,all,64,32,32,1.0,0.0,0.0,0.0,0.5,0.5,0.0
Gemini/gemini-3.6-flash,all,focal,allow,32,32,0,1.0,0.0,,0.0,1.0,0.0,0.0
Gemini/gemini-3.6-flash,all,focal,block,32,0,32,1.0,,0.0,0.0,0.0,1.0,0.0
Gemini/gemini-3.6-flash,all,stable_admissible,all,64,64,0,0.40625,0.53125,,0.0625,0.40625,0.53125,0.0625
Gemini/gemini-3.6-flash,all,stable_admissible,allow,32,32,0,0.1875,0.8125,,0.0,0.1875,0.8125,0.0
Gemini/gemini-3.6-flash,all,stable_admissible,block,32,32,0,0.625,0.25,,0.125,0.625,0.25,0.125
Gemini/gemini-3.6-flash,all,stable_inadmissible,all,64,0,64,1.0,,0.0,0.0,0.0,1.0,0.0
Gemini/gemini-3.6-flash,all,stable_inadmissible,allow,32,0,32,1.0,,0.0,0.0,0.0,1.0,0.0
Gemini/gemini-3.6-flash,all,stable_inadmissible,block,32,0,32,1.0,,0.0,0.0,0.0,1.0,0.0
Gemini/gemini-3.6-flash,as_of_time,focal,all,16,8,8,1.0,0.0,0.0,0.0,0.5,0.5,0.0
Gemini/gemini-3.6-flash,as_of_time,focal,allow,8,8,0,1.0,0.0,,0.0,1.0,0.0,0.0
Gemini/gemini-3.6-flash,as_of_time,focal,block,8,0,8,1.0,,0.0,0.0,0.0,1.0,0.0
Gemini/gemini-3.6-flash,as_of_time,stable_admissible,all,16,16,0,0.6875,0.1875,,0.125,0.6875,0.1875,0.125
Gemini/gemini-3.6-flash,as_of_time,stable_admissible,allow,8,8,0,0.625,0.375,,0.0,0.625,0.375,0.0
Gemini/gemini-3.6-flash,as_of_time,stable_admissible,block,8,8,0,0.75,0.0,,0.25,0.75,0.0,0.25
Gemini/gemini-3.6-flash,as_of_time,stable_inadmissible,all,16,0,16,1.0,,0.0,0.0,0.0,1.0,0.0
Gemini/gemini-3.6-flash,as_of_time,stable_inadmissible,allow,8,0,8,1.0,,0.0,0.0,0.0,1.0,0.0
Gemini/gemini-3.6-flash,as_of_time,stable_inadmissible,block,8,0,8,1.0,,0.0,0.0,0.0,1.0,0.0
Gemini/gemini-3.6-flash,lifecycle_intent,focal,all,16,8,8,1.0,0.0,0.0,0.0,0.5,0.5,0.0
Gemini/gemini-3.6-flash,lifecycle_intent,focal,allow,8,8,0,1.0,0.0,,0.0,1.0,0.0,0.0
Gemini/gemini-3.6-flash,lifecycle_intent,focal,block,8,0,8,1.0,,0.0,0.0,0.0,1.0,0.0
Gemini/gemini-3.6-flash,lifecycle_intent,stable_admissible,all,16,16,0,0.5,0.5,,0.0,0.5,0.5,0.0
Gemini/gemini-3.6-flash,lifecycle_intent,stable_admissible,allow,8,8,0,0.0,1.0,,0.0,0.0,1.0,0.0
