arm,seed_count,target_recall,infeasibility_cost,query_count,mean_evidence_recall,std_evidence_recall,mean_feasible_rate,std_feasible_rate,mean_penalized_admissibility_upper_risk,std_penalized_admissibility_upper_risk,mean_penalized_residual_upper_risk,std_penalized_residual_upper_risk,mean_conditional_admissibility_upper_risk,std_conditional_admissibility_upper_risk,mean_conditional_residual_upper_risk,std_conditional_residual_upper_risk,mean_returned_wrong_scope_rate,std_returned_wrong_scope_rate,mean_matched_prefix_wrong_scope_rate,std_matched_prefix_wrong_scope_rate,mean_mean_route_width,std_mean_route_width,mean_mean_candidates_scored,std_mean_candidates_scored
namespace_pre_filter,1,0.5,1.0,3767,0.5328784300057341,0.0,0.596778167312267,0.0,0.4588038863427947,0.0,0.4588038863427947,0.0,0.10050623303066954,0.0,0.10050623303066954,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1551.24455090498,0.0
namespace_pre_filter,1,0.7,1.0,3767,0.5328784300057341,0.0,0.35265635277836066,0.0,0.6778466702006745,0.0,0.6778466702006745,0.0,0.12096797866013363,0.0,0.12096797866013363,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1551.24455090498,0.0
namespace_pre_filter,1,0.8,1.0,3767,0.5328784300057341,0.0,0.31131395982110227,0.0,0.7127047093519459,0.0,0.7127047093519459,0.0,0.12607858057826515,0.0,0.12607858057826515,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1551.24455090498,0.0
namespace_pre_filter,1,0.9,1.0,3767,0.5328784300057341,0.0,0.30354494722423275,0.0,0.71938265650675,0.0,0.71938265650675,0.0,0.12823645948846135,0.0,0.12823645948846135,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1551.24455090498,0.0
namespace_pre_filter,1,1.0,1.0,3767,0.5328784300057341,0.0,0.30354494722423275,0.0,0.71938265650675,0.0,0.71938265650675,0.0,0.12823645948846135,0.0,0.12823645948846135,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1551.24455090498,0.0
global_post_filter_20,1,0.5,1.0,3767,0.4315697757162279,0.0,0.4728010882865381,0.0,0.5666424681939366,0.0,0.5666424681939366,0.0,0.09353428159551208,0.0,0.09353428159551208,0.0,0.0,0.0,0.0,0.0,13.668369668492266,0.0,90121.7017208413,0.0
global_post_filter_20,1,0.7,1.0,3767,0.4315697757162279,0.0,0.26949886008115,0.0,0.7505114954339406,0.0,0.7505114954339406,0.0,0.11388349700167383,0.0,0.11388349700167383,0.0,0.0,0.0,0.0,0.0,13.668369668492266,0.0,90121.7017208413,0.0
global_post_filter_20,1,0.8,1.0,3767,0.4315697757162279,0.0,0.23740430929405193,0.0,0.778388611011128,0.0,0.778388611011128,0.0,0.11914472900001027,0.0,0.11914472900001027,0.0,0.0,0.0,0.0,0.0,13.668369668492266,0.0,90121.7017208413,0.0
global_post_filter_20,1,0.9,1.0,3767,0.4315697757162279,0.0,0.23398219510412516,0.0,0.7815581861888792,0.0,0.7815581861888792,0.0,0.12177052394808266,0.0,0.12177052394808266,0.0,0.0,0.0,0.0,0.0,13.668369668492266,0.0,90121.7017208413,0.0
global_post_filter_20,1,1.0,1.0,3767,0.4315697757162279,0.0,0.23398219510412516,0.0,0.7815581861888792,0.0,0.7815581861888792,0.0,0.12177052394808266,0.0,0.12177052394808266,0.0,0.0,0.0,0.0,0.0,13.668369668492266,0.0,90121.7017208413,0.0
