channel,rate,seed,query_count,matched_prefix_query_count,evidence_recall,feasible_rate,penalized_admissibility_upper_risk,infeasibility_risk_component,admissibility_conditional_risk_component,matched_prefix_wrong_scope_exposure_rate,returned_wrong_scope_rate,known_relevant_inadmissible_rate,joint_label_coverage,candidates_scored
namespace_false_allow,0.5,0,3767,2179,0.757617763219913,0.5892487498614887,0.5766276801236488,0.4107512501385113,0.16587642998513724,0.166947518317338,0.4160495210454711,0.0,0.2268235303498039,45840.227216358246
namespace_false_allow,0.5,1,3767,2169,0.7561421706065634,0.5869055505914139,0.5782500899340537,0.4130944494085861,0.16515564052546752,0.1668240947827182,0.41604173199293565,0.0,0.22653428159104916,45837.424949546505
namespace_false_allow,0.5,2,3767,2174,0.75549700247148,0.5852705273804499,0.5789189759545337,0.41472947261955007,0.1641895033349834,0.1653641843312251,0.41662530089378025,0.0,0.22987532874730632,45835.37564481449
namespace_false_allow,0.5,3,3767,2178,0.7568953980517439,0.588292726916938,0.5781205255227193,0.411707273083062,0.1664132524396574,0.16800184246387345,0.41632730995654776,0.0,0.22665327539598798,45834.345564866926
namespace_false_allow,0.5,4,3767,2178,0.7590327777049899,0.5890946191586526,0.5767212428232513,0.4109053808413473,0.16581586198190448,0.16706731164157285,0.41571670482113654,0.0,0.22675069368936313,45833.72183003539
namespace_false_allow,0.5,5,3767,2179,0.7593552079879904,0.5916544265866326,0.5758075404415832,0.4083455734133673,0.16746196702821606,0.16877091490344712,0.4156689655619545,0.0,0.2247399554807699,45837.608923843516
namespace_false_allow,0.5,6,3767,2177,0.757816208078591,0.5889404884558167,0.576531928360911,0.41105951154418335,0.1654724168167276,0.16611406298721298,0.4154311887455697,0.0,0.2274244719270882,45837.20443006415
namespace_false_allow,0.5,7,3767,2180,0.7578930577808118,0.5894028805643247,0.5776793832400247,0.41059711943567534,0.16708226380434876,0.16867613995820127,0.41619257084118155,0.0,0.2256605122618974,45834.809753202266
namespace_false_allow,0.5,8,3767,2181,0.7588044219284227,0.5903589035088753,0.5749492018034295,0.4096410964911247,0.16530810531230422,0.16553407692142122,0.4159335900017201,0.0,0.22741812556802143,45835.39358586406
namespace_false_allow,0.5,9,3767,2181,0.7589580691747613,0.5919626879923047,0.5755924891563279,0.40803731200769533,0.16755517714863244,0.16880729666623784,0.41550308791874524,0.0,0.22547285468557915,45836.94960928014
namespace_swap,0.0,0,3767,3018,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,0.0,0.0,0.0,0.22179411857977033,1551.24455090498
namespace_swap,0.0,1,3767,3018,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,0.0,0.0,0.0,0.22179411857977033,1551.24455090498
namespace_swap,0.0,2,3767,3018,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,0.0,0.0,0.0,0.22179411857977033,1551.24455090498
namespace_swap,0.0,3,3767,3018,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,0.0,0.0,0.0,0.22179411857977033,1551.24455090498
namespace_swap,0.0,4,3767,3018,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,0.0,0.0,0.0,0.22179411857977033,1551.24455090498
namespace_swap,0.0,5,3767,3018,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,0.0,0.0,0.0,0.22179411857977033,1551.24455090498
namespace_swap,0.0,6,3767,3018,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,0.0,0.0,0.0,0.22179411857977033,1551.24455090498
namespace_swap,0.0,7,3767,3018,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,0.0,0.0,0.0,0.22179411857977033,1551.24455090498
namespace_swap,0.0,8,3767,3018,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,0.0,0.0,0.0,0.22179411857977033,1551.24455090498
namespace_swap,0.0,9,3767,3018,0.8656633800606315,0.7618665905934887,0.3537144372628587,0.23813340940651134,0.11558102785634769,0.0,0.0,0.0,0.22179411857977033,1551.24455090498
namespace_swap,0.02,0,3767,2900,0.8496965067337376,0.7356602452416934,0.37749169752697753,0.26433975475830657,0.1131519427686703,0.002470342170057763,0.008274557943168618,0.0,0.2250541669524796,1549.3761767569722
namespace_swap,0.02,1,3767,2895,0.8530242283229705,0.7340876994857988,0.3779117629838231,0.2659123005142012,0.11199946246962182,0.0023835938030326524,0.006701901470294069,0.0,0.22536312432810235,1549.3221408312565
namespace_swap,0.02,2,3767,2921,0.8505681883884441,0.7364913132761055,0.3771949224569714,0.26350868672389444,0.11368623573307722,0.0027130269327050047,0.008178604475962694,0.0,0.22485034975177454,1549.564470250122
namespace_swap,0.02,3,3767,2910,0.8534487660450012,0.7388053367534828,0.3739706477444359,0.2611946632465172,0.11277598449791947,0.0024174896269161606,0.00675975789073458,0.0,0.22052076663287426,1548.954675553397
namespace_swap,0.02,4,3767,2902,0.8543666380269563,0.7407798600976534,0.3717075371469766,0.25922013990234655,0.11248739724462989,0.003780463275471598,0.007165947007908479,0.0,0.22051024983528594,1549.402255789774
namespace_swap,0.02,5,3767,2922,0.8577703238001229,0.7438624741543736,0.3695460924574365,0.25613752584562643,0.11340856661180977,0.0023872368808999706,0.007102027824100677,0.0,0.22388323174117092,1548.7939169356341
namespace_swap,0.02,6,3767,2927,0.851956297946394,0.7374160974931216,0.3760908690126,0.2625839025068784,0.1135069665057214,0.002563893203371753,0.006470880461095502,0.0,0.2251219686284725,1549.405765136637
namespace_swap,0.02,7,3767,2843,0.8504649813022322,0.7292804719051852,0.3803911418551612,0.2707195280948148,0.10967161376034598,0.003140852041153772,0.006739990864825451,0.0,0.22626568410450623,1549.1880600868083
namespace_swap,0.02,8,3767,2914,0.8501159130807809,0.7330067216311096,0.3812641510786074,0.2669932783688905,0.11427087270971698,0.002373407767170658,0.00805553913267988,0.0,0.22425491140119252,1549.6538654683568
namespace_swap,0.02,9,3767,2884,0.8499816726249462,0.7299865850294587,0.3820020089789863,0.2700134149705413,0.11198859400844467,0.00274814266143987,0.00787071602535091,0.0,0.2242804334764058,1548.8923554707853
namespace_swap,0.05,0,3767,2643,0.8257109310828581,0.6840202709871201,0.4207387019086858,0.31597972901287974,0.10475897289580613,0.0061137410961724006,0.018199687281380675,0.0,0.22899824179331546,1546.072616485089
namespace_swap,0.05,1,3767,2727,0.8304151377559588,0.693759681058486,0.4143413827093396,0.30624031894151404,0.1081010637678258,0.005868184772774426,0.017517404874470673,0.0,0.22805352012189684,1546.2017514906179
namespace_swap,0.05,2,3767,2721,0.818739430148727,0.6848159744243233,0.42355423008914217,0.3151840255756767,0.10837020451346543,0.006682752886178437,0.01988765483572784,0.0,0.2286269398307254,1546.6589573809451
namespace_swap,0.05,3,3767,2726,0.8294705098366157,0.6895960891470766,0.4183950808661566,0.31040391085292335,0.10799117001323402,0.005747302679700265,0.0171719959977203,0.0,0.22711171294654567,1545.6083565364384
namespace_swap,0.05,4,3767,2755,0.8359809076456723,0.7060942631550408,0.40299585838286694,0.29390573684495924,0.10909012153790866,0.006568388800886457,0.01696300762546254,0.0,0.2259690780790269,1547.0020234443703
namespace_swap,0.05,5,3767,2773,0.8343672678535929,0.7040572623558008,0.40669837901834427,0.2959427376441991,0.11075564137414537,0.005812923345696077,0.018117880491368227,0.0,0.22993727141293552,1546.2155890680956
namespace_swap,0.05,6,3767,2724,0.830421243762405,0.690891612224834,0.4167503149022479,0.309108387775166,0.10764192712708189,0.005860130931007892,0.01675194151638677,0.0,0.23038726693439832,1546.4740146833808
namespace_swap,0.05,7,3767,2694,0.828382197570291,0.6878714756231832,0.4194951865136669,0.3121285243768168,0.10736666213685005,0.008090908239983152,0.01958239894054295,0.0,0.23038496185187146,1546.9078286608842
namespace_swap,0.05,8,3767,2730,0.8257181069151484,0.6854012585081326,0.4256717596781579,0.3145987414918673,0.11107301818629098,0.007391093398247209,0.019685135496497815,0.0,0.22371333280143807,1546.8224703114206
namespace_swap,0.05,9,3767,2645,0.8258796445363992,0.6795171789425043,0.4245051295844614,0.32048282105749576,0.10402230852696519,0.005678773683984026,0.01778166608702588,0.0,0.2278557149040163,1546.3372591965635
namespace_swap,0.1,0,3767,2400,0.7897860498938711,0.6249154196716751,0.47380477156075695,0.3750845803283249,0.0987201912324324,0.015299525604415191,0.039797589134131645,0.0,0.23150480880614727,1541.9139143186537
namespace_swap,0.1,1,3767,2425,0.7877760183422875,0.6215516570671432,0.4788432675067672,0.3784483429328568,0.1003949245739112,0.014362928161797127,0.036589177651461344,0.0,0.22918298806418042,1541.4188523952441
namespace_swap,0.1,2,3767,2407,0.7822385122970941,0.6107583819989485,0.4896848583455992,0.3892416180010515,0.10044324034454785,0.013415169534937797,0.038441600082988914,0.0,0.2332448745430802,1542.08286986064
namespace_swap,0.1,3,3767,2491,0.7968484025250098,0.6301204989708902,0.4736252770045896,0.36987950102910977,0.10374577597548085,0.013909113471927536,0.03822385212818055,0.0,0.23287667530799788,1539.7465106930754
namespace_swap,0.1,4,3767,2493,0.7960787187305396,0.6400514672771382,0.46315564383005714,0.35994853272286176,0.10320711110719456,0.014335692454702753,0.036386878254232494,0.0,0.2345939597837285,1541.4050201224559
